sample_id,task,anchor,strategy,definition,metric,threshold,threshold_label,observed_horizon,measurement_limit,is_right_censored,availability,interpretation_note,sample_cluster
gov_report:0,gov_report,0,attention_weighted_v_ridge_leverage,absolute_average_delta_nll,average_delta_nll,0.01,0.01,0,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,0,attention_weighted_v_ridge_leverage,relative_to_full_cache_delta_nll,average_delta_nll,0.01,0.01,0,64,False,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,0,attention_weighted_v_ridge_leverage,absolute_average_delta_nll,average_delta_nll,0.05,0.05,2,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,0,attention_weighted_v_ridge_leverage,relative_to_full_cache_delta_nll,average_delta_nll,0.05,0.05,2,64,False,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,0,attention_weighted_v_ridge_leverage,absolute_average_delta_nll,average_delta_nll,0.1,0.1,25,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,0,attention_weighted_v_ridge_leverage,relative_to_full_cache_delta_nll,average_delta_nll,0.1,0.1,25,64,False,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,0,attention_weighted_v_ridge_leverage,absolute_average_delta_nll,average_delta_nll,0.25,0.25,62,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,0,attention_weighted_v_ridge_leverage,relative_to_full_cache_delta_nll,average_delta_nll,0.25,0.25,62,64,False,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,0,attention_weighted_v_ridge_leverage,absolute_running_max_delta_nll,running_max_delta_nll,0.05,0.05,0,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,0,attention_weighted_v_ridge_leverage,absolute_running_max_delta_nll,running_max_delta_nll,0.1,0.1,2,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,0,attention_weighted_v_ridge_leverage,absolute_running_max_delta_nll,running_max_delta_nll,0.25,0.25,2,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,0,attention_weighted_v_ridge_leverage,absolute_running_max_delta_nll,running_max_delta_nll,0.5,0.5,21,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,0,future_attention_oracle,absolute_average_delta_nll,average_delta_nll,0.01,0.01,64,64,True,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,0,future_attention_oracle,relative_to_full_cache_delta_nll,average_delta_nll,0.01,0.01,64,64,True,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,0,future_attention_oracle,absolute_average_delta_nll,average_delta_nll,0.05,0.05,64,64,True,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,0,future_attention_oracle,relative_to_full_cache_delta_nll,average_delta_nll,0.05,0.05,64,64,True,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,0,future_attention_oracle,absolute_average_delta_nll,average_delta_nll,0.1,0.1,64,64,True,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,0,future_attention_oracle,relative_to_full_cache_delta_nll,average_delta_nll,0.1,0.1,64,64,True,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,0,future_attention_oracle,absolute_average_delta_nll,average_delta_nll,0.25,0.25,64,64,True,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,0,future_attention_oracle,relative_to_full_cache_delta_nll,average_delta_nll,0.25,0.25,64,64,True,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,0,future_attention_oracle,absolute_running_max_delta_nll,running_max_delta_nll,0.05,0.05,21,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,0,future_attention_oracle,absolute_running_max_delta_nll,running_max_delta_nll,0.1,0.1,43,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,0,future_attention_oracle,absolute_running_max_delta_nll,running_max_delta_nll,0.25,0.25,64,64,True,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,0,future_attention_oracle,absolute_running_max_delta_nll,running_max_delta_nll,0.5,0.5,64,64,True,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,0,snapkv,absolute_average_delta_nll,average_delta_nll,0.01,0.01,25,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,0,snapkv,relative_to_full_cache_delta_nll,average_delta_nll,0.01,0.01,25,64,False,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,0,snapkv,absolute_average_delta_nll,average_delta_nll,0.05,0.05,33,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
gov_report:0,gov_report,0,snapkv,relative_to_full_cache_delta_nll,average_delta_nll,0.05,0.05,33,64,False,available_but_equivalent,delta_nll is already NLL(compressed)-NLL(full); not an independent definition,gov_report::gov_report:0
gov_report:0,gov_report,0,snapkv,absolute_average_delta_nll,average_delta_nll,0.1,0.1,38,64,False,available,max observed H satisfying threshold,gov_report::gov_report:0
